BoroughName,Code,Inner/ Outer London,2011_CrimeRate_per1000,2012_CrimeRate_per1000,2013_CrimeRate_per1000,2014_CrimeRate_per1000,2015_CrimeRate_per1000,2016_CrimeRate_per1000,2017_CrimeRate_per1000,2018_CrimeRate_per1000,2019_CrimeRate_per1000,2020_CrimeRate_per1000,2021_CrimeRate_per1000,2022_CrimeRate_per1000,2023_CrimeRate_per1000,2024_CrimeRate_per1000
Barking and Dagenham,E09000002,Outer,97.2692057326404,89.0132967441568,80.15261295772333,79.35253645253998,84.46493516761542,82.99774231444194,87.82830514030013,85.43847198657724,90.56679295162387,81.19358694308205,85.93873450867966,89.57385464802792,92.22513965495973,85.84310425269364
Barnet,E09000003,Outer,71.61690241658815,69.2474819472026,61.188560222966764,61.57907367410608,64.79097223319273,65.23337769745054,67.64662303357295,71.13227838377631,77.71092272400793,62.12237319107548,66.91143395538265,66.23682961442364,67.79968968971362,66.23998631581948
Bexley,E09000004,Outer,51.364365971107546,52.74222917794959,48.69678998797037,50.61372051663314,51.58641746090688,53.91284471076134,59.31733682877591,62.468249872999486,71.31304743262749,56.00658901047182,59.26531565730304,60.93802565282456,63.827661471302534,62.71356707433086
Brent,E09000005,Outer,95.5079148088053,85.19202913479916,74.79024089681643,76.74105490965513,79.46104521765362,83.02820175451923,89.13899323816679,89.25989805823802,87.84009861759267,78.78075805649507,80.58319405837136,84.41351786067555,91.0571006575158,90.94101322459152
Bromley,E09000006,Outer,68.982032078686,63.6570542162547,59.93939489095791,62.330269642113635,64.84067938281507,63.38469055871979,68.69562326802837,69.8127327316497,75.3831979227741,60.75001114760921,67.56494022965481,65.61416210282938,68.64977289581016,69.23198687599833
Camden,E09000007,Inner,158.95077855575295,145.86528331577472,122.30212695565868,118.87840916349082,124.85791801143294,121.57364530018685,153.50061709596244,142.37423655284064,155.7806250635943,99.73424921518043,113.37065827626627,134.91163695697136,155.11592645927144,162.07550749383418
Croydon,E09000008,Outer,87.70746816879789,83.4295690267454,74.4757908743615,74.4309116051484,75.6639958209223,77.75225998158533,77.75154912953673,78.20677952240759,85.03132029413841,77.11256345684934,81.00659047590722,81.14439257970615,82.69595218426551,83.7770234911734
Ealing,E09000009,Outer,93.03872933625779,87.31401493158799,74.34846650818882,74.69289191138468,78.18060044844356,81.24652522071216,81.1175192869448,81.09263820470717,87.9316965193233,75.42153424369806,77.15758010197871,77.00917664242847,82.24603310369137,79.20261085722129
Enfield,E09000010,Outer,70.56440697937333,70.40833367468798,68.51840299438553,67.82997073771755,68.68609383608973,69.6350510301052,75.65984501574572,83.18996023062094,88.93307411334983,78.71006113827396,85.01449651650871,85.06145819642623,82.7677475848662,82.76254261575579
Greenwich,E09000011,Outer,85.61822117322875,80.23670732270021,72.37280688463986,76.36278370391324,78.91835241973341,84.52420951795429,88.28958815166882,89.5460355823164,98.10806145347833,80.72391320700525,87.76374742654417,89.12971024006949,93.21362731852759,89.54649265905383
Hackney,E09000012,Inner,108.19216570131434,110.66273290695602,99.74590243429347,97.6338096575171,101.97286613091813,107.87742496039019,112.86061807370034,112.22403634556684,118.95958802478835,100.23904272370531,106.28614869376727,104.66783549430536,109.6438953733747,110.9087304121061
Hammersmith and Fulham,E09000013,Inner,122.85135948356037,118.56044840311884,102.85427023403899,109.29438755525713,112.5371340832471,113.37903754486162,119.0836169312053,115.68595490355882,122.70321107080478,91.60501465491477,100.59138385863936,98.97917638997845,107.10778028825916,99.85134146629227
Haringey,E09000014,Inner,96.84212168243396,90.93183480235557,80.89403823159934,86.8241946960017,93.53379943162308,100.41918889990657,106.88852926907865,108.71369878433138,109.91820219689525,93.06607871573794,99.24484261833659,96.69066414994055,99.86351151346427,94.49981791942598
Harrow,E09000015,Outer,56.94776884051058,55.075100538813956,49.04135084058589,49.42917976274967,52.20150669778033,53.91551284313883,55.40126640534493,58.993064937404306,65.76888754968883,54.949722209467836,56.80041292829925,57.29160780413564,58.052560646900275,61.1626832757182
Havering,E09000016,Outer,70.91207439955346,67.99201955957632,61.934382141118824,61.5155402552694,66.32483292508388,68.38194337453632,72.50880302308695,71.96197443992685,73.70822137596413,59.267463621433755,65.55484526003083,72.08661301258807,76.71453719333886,69.64164016356202
Hillingdon,E09000017,Outer,93.05264835188713,79.59885407112833,71.05756619573272,82.09324128526379,81.30844253778865,82.81591258503626,89.47042730588849,89.0793286139272,96.39853215470603,77.02693729387546,78.2303023473473,83.89355394862508,72.80845803273243,88.36607055604418
Hounslow,E09000018,Outer,94.25693405500246,88.28755217587364,75.12917881087004,77.65391484162046,81.15106416967274,84.47187585160525,91.28268538386006,92.45536612713107,94.78955992592566,79.81839793499742,82.63895423196618,84.70821611982389,94.45549989706993,89.2801713699018
Islington,E09000019,Inner,126.6072716186199,129.5127719962157,109.74243602562677,114.06024852856814,121.6952794404613,118.18556029122966,135.81170072651568,119.39127113700177,125.4030605698107,93.29687390611423,104.55371319136398,110.99540756348668,116.32774514288953,123.62764837133484
Kensington and Chelsea,E09000020,Inner,125.95492020270783,132.02116023053648,111.75358184557197,116.5520368348117,122.14126695001012,125.8408803070128,136.08392316750445,133.52081907834852,153.57781363101208,99.01488861524683,118.6305338219273,128.4426824914125,142.4703684420079,138.2087550298744
Kingston upon Thames,E09000021,Outer,67.91342876194156,61.98037074765614,54.487909558462114,56.56770064297521,57.85962041507738,58.5670489383445,64.30929441371154,67.08950278704317,69.94540360358364,54.228142375552736,62.42283114913896,62.20431895469711,63.96131359290962,58.961516515564576
Lambeth,E09000022,Inner,116.56518201622005,110.46060406985545,102.63566975766842,100.81213525332531,106.30685002370996,105.57920039483666,104.5002823434202,103.16858068139722,104.65701066183867,83.70846604999942,94.09495982468955,96.63877761045636,103.69984215937558,109.88731580468072
Lewisham,E09000023,Inner,95.44725700387352,87.08350021088597,76.5464645513605,74.09066046766033,81.69526571605037,80.69987502231744,81.52620928259024,84.1539810005027,92.21500062096571,82.56973209645157,83.97125156750079,86.17560393419103,90.97382070404812,91.04445732767827
Merton,E09000024,Outer,68.52991164163677,65.95599976343959,55.61876550959756,58.68323881722642,61.48659183037106,63.57431749241658,66.25525273142034,66.00579693535988,69.22718719708057,59.790837871135814,61.3625780013039,63.91983827343974,64.90668718907182,61.882423395548464
Newham,E09000025,Inner,98.17192028520864,100.63827899193753,87.97262253698241,87.72032144983946,89.53866496743642,90.55865432351138,98.83205544426792,100.04387889425188,99.10701866636994,84.7086524073585,90.82609560612956,92.59089090928748,102.5381528260607,108.02459244065551
Redbridge,E09000026,Outer,83.38276718255476,77.82105266854671,68.61004583943023,67.40545942608831,65.24338287546436,67.72108559498956,77.96977165854413,75.57451538034063,78.50433878254087,70.14257167012528,77.14488061513556,75.17077164409503,75.09696815980105,72.55190603244702
Richmond upon Thames,E09000027,Outer,61.4258213483925,61.38147981707156,54.15305829174614,54.978433246377556,54.86057618240641,58.70939411578485,66.98385760753177,64.11124316138383,64.74741284385385,56.421747730686675,55.50582356181632,56.06897796158029,57.92228651043985,57.52660557505004
Southwark,E09000028,Inner,116.56719461157516,109.34684914370408,103.03267370757817,97.92797725458635,100.42158652215348,103.84971978576914,106.34648370497426,111.69027806219012,119.7631320831971,90.04511187138576,95.49445561637495,102.94003452539528,111.92854638482977,116.54057812186988
Sutton,E09000029,Outer,59.98485758295695,57.86457205883869,52.04629506994182,54.15411583369433,54.264300353550716,53.841825755631454,58.93145564647958,59.56273085862531,67.37859261873646,56.43714771151507,62.08399737508203,62.6823647480811,60.31402024300832,58.436975868168524
Tower Hamlets,E09000030,Inner,109.00130510158365,105.80030036863424,96.20453058344879,92.66284493902097,95.35363912554197,98.42337993041532,100.41023134990549,104.54188642604264,105.71956403539123,89.88760619796794,96.76738435558772,97.45724747188159,105.87125539755917,103.03907131354363
Waltham Forest,E09000031,Outer,93.18463730380918,91.86197149923449,81.17784816777505,75.88722434167674,79.57693368895428,77.12894849149,80.73558293161935,83.47088782607469,84.51892766479762,76.45229360328801,76.72787136084811,74.76186122426866,78.16392604870242,83.24501429263971
Wandsworth,E09000032,Inner,75.23516055789815,82.3853519886566,71.15581184548033,70.01454905910755,73.1117556341112,76.64689945245448,79.53873725100162,78.35080147965475,80.08137993114941,70.65166756328686,74.84686914379942,69.87967256015644,77.49402765654432,72.14977397467725
Westminster,E09000033,Inner,290.62036050313776,273.494804742292,233.582112581059,203.83039281244106,200.24845335721568,197.98557432132273,228.79515614939473,258.0874692874693,310.62121147649424,145.8375804385705,209.7042890853433,298.95988673902787,340.6429357139116,332.7052260258983
