BoroughName,Code,Inner/ Outer London,Year,Crime_per_1000,Job_Density,Population_Density,Median_Income
Barking and Dagenham,E09000002,Outer,2011,97.2692057326404,0.45,5190.510409,19400.0
Barnet,E09000003,Outer,2011,71.61690241658815,0.62,4122.881282,24100.0
Bexley,E09000004,Outer,2011,51.364365971107546,0.53,3846.14445,22600.0
Brent,E09000005,Outer,2011,95.5079148088053,0.53,7241.843702,19700.0
Bromley,E09000006,Outer,2011,68.982032078686,0.61,2072.203176,25800.0
Camden,E09000007,Inner,2011,158.95077855575295,2.06,10100.69394,29400.0
Croydon,E09000008,Outer,2011,87.70746816879789,0.56,4217.337225,22000.0
Ealing,E09000009,Outer,2011,93.0387293362578,0.63,6115.208391,20800.0
Enfield,E09000010,Outer,2011,70.56440697937333,0.54,3884.737637,20900.0
Greenwich,E09000011,Outer,2011,85.61822117322875,0.47,5397.467314,21300.0
Hackney,E09000012,Inner,2011,108.19216570131434,0.63,12996.88567,22300.0
Hammersmith and Fulham,E09000013,Inner,2011,122.85135948356036,1.03,11147.46296,27100.0
Haringey,E09000014,Inner,2011,96.84212168243396,0.41,8663.918071,21500.0
Harrow,E09000015,Outer,2011,56.94776884051058,0.48,4777.048985,22300.0
Havering,E09000016,Outer,2011,70.91207439955346,0.55,2120.88748,22500.0
Hillingdon,E09000017,Outer,2011,93.05264835188711,1.11,2386.614403,21900.0
Hounslow,E09000018,Outer,2011,94.25693405500246,0.85,4561.334835,21600.0
Islington,E09000019,Inner,2011,126.6072716186199,1.29,13908.85001,26100.0
Kensington and Chelsea,E09000020,Inner,2011,125.95492020270784,1.2,13085.76624,31700.0
Kingston upon Thames,E09000021,Outer,2011,67.91342876194156,0.73,4306.600522,24800.0
Lambeth,E09000022,Inner,2011,116.56518201622004,0.66,11369.17576,24000.0
Lewisham,E09000023,Inner,2011,95.44725700387352,0.39,7895.606666,23200.0
Merton,E09000024,Outer,2011,68.52991164163677,0.62,5348.236578,24700.0
Newham,E09000025,Inner,2011,98.17192028520864,0.41,8616.736822,17400.0
Redbridge,E09000026,Outer,2011,83.38276718255476,0.42,4989.826388,22200.0
Richmond upon Thames,E09000027,Outer,2011,61.4258213483925,0.76,3266.634771,30600.0
Southwark,E09000028,Inner,2011,116.56719461157516,1.16,10025.66243,23800.0
Sutton,E09000029,Outer,2011,59.98485758295695,0.62,4367.803567,22300.0
Tower Hamlets,E09000030,Inner,2011,109.00130510158364,1.32,12976.15988,24000.0
Waltham Forest,E09000031,Outer,2011,93.18463730380918,0.4,6709.885804,19700.0
Wandsworth,E09000032,Inner,2011,75.23516055789815,0.55,8997.737287,29000.0
Westminster,E09000033,Inner,2011,290.62036050313776,4.16,10219.3049,31400.0
Barking and Dagenham,E09000002,Outer,2012,89.0132967441568,0.45,5288.300868,19600.0
Barnet,E09000003,Outer,2012,69.2474819472026,0.65,4196.865428,24200.0
Bexley,E09000004,Outer,2012,52.74222917794959,0.53,3870.855303,22300.0
Brent,E09000005,Outer,2012,85.19202913479916,0.56,7297.704278,20200.0
Bromley,E09000006,Outer,2012,63.6570542162547,0.61,2095.395653,25100.0
Camden,E09000007,Inner,2012,145.86528331577472,2.16,10324.38177,30400.0
Croydon,E09000008,Outer,2012,83.4295690267454,0.58,4264.398831,22700.0
Ealing,E09000009,Outer,2012,87.31401493158799,0.62,6139.639338,21300.0
Enfield,E09000010,Outer,2012,70.40833367468798,0.57,3926.206377,22300.0
Greenwich,E09000011,Outer,2012,80.23670732270021,0.46,5494.33242,21800.0
Hackney,E09000012,Inner,2012,110.66273290695602,0.62,13256.05904,23300.0
Hammersmith and Fulham,E09000013,Inner,2012,118.56044840311884,1.07,10989.20668,27600.0
Haringey,E09000014,Inner,2012,90.93183480235555,0.44,8777.843198,22200.0
Harrow,E09000015,Outer,2012,55.07510053881396,0.5,4814.264559,23000.0
Havering,E09000016,Outer,2012,67.99201955957632,0.56,2136.962294,22700.0
Hillingdon,E09000017,Outer,2012,79.59885407112833,1.15,2440.693387,23500.0
Hounslow,E09000018,Outer,2012,88.28755217587364,0.89,4635.024615,21800.0
Islington,E09000019,Inner,2012,129.5127719962157,1.31,14229.31244,28100.0
Kensington and Chelsea,E09000020,Inner,2012,132.02116023053648,1.27,12894.32798,37200.0
Kingston upon Thames,E09000021,Outer,2012,61.98037074765614,0.73,4399.726944,26000.0
Lambeth,E09000022,Inner,2012,110.46060406985544,0.66,11582.49141,24600.0
Lewisham,E09000023,Inner,2012,87.08350021088597,0.4,8026.989105,22900.0
Merton,E09000024,Outer,2012,65.95599976343959,0.63,5392.941208,25200.0
Newham,E09000025,Inner,2012,100.63827899193753,0.44,8716.851772,17600.0
Redbridge,E09000026,Outer,2012,77.82105266854671,0.47,5046.934812,22900.0
Richmond upon Thames,E09000027,Outer,2012,61.38147981707156,0.73,3294.819593,31500.0
Southwark,E09000028,Inner,2012,109.34684914370408,1.25,10192.4213,24300.0
Sutton,E09000029,Outer,2012,57.86457205883869,0.62,4424.979681,25300.0
Tower Hamlets,E09000030,Inner,2012,105.80030036863424,1.3,13329.5749,24700.0
Waltham Forest,E09000031,Outer,2012,91.86197149923449,0.43,6782.654374,20300.0
Wandsworth,E09000032,Inner,2012,82.3853519886566,0.59,9015.30666,29400.0
Westminster,E09000033,Inner,2012,273.494804742292,4.32,10418.30913,32400.0
Barking and Dagenham,E09000002,Outer,2013,80.15261295772333,0.44,5393.319679,20100.0
Barnet,E09000003,Outer,2013,61.18856022296677,0.66,4256.02508,25800.0
Bexley,E09000004,Outer,2013,48.69678998797037,0.54,3910.736012,23100.0
Brent,E09000005,Outer,2013,74.79024089681643,0.56,7357.936551,20600.0
Bromley,E09000006,Outer,2013,59.93939489095791,0.64,2121.125847,26900.0
Camden,E09000007,Inner,2013,122.30212695565868,2.22,10542.69998,31600.0
Croydon,E09000008,Outer,2013,74.4757908743615,0.53,4309.090595,23900.0
Ealing,E09000009,Outer,2013,74.34846650818882,0.63,6172.459985,22700.0
Enfield,E09000010,Outer,2013,68.51840299438553,0.57,3966.252413,22700.0
Greenwich,E09000011,Outer,2013,72.37280688463986,0.48,5577.570918,22600.0
Hackney,E09000012,Inner,2013,99.74590243429348,0.6,13532.18866,24300.0
Hammersmith and Fulham,E09000013,Inner,2013,102.854270234039,1.01,10918.15906,27600.0
Haringey,E09000014,Inner,2013,80.89403823159934,0.44,8929.000084,23300.0
Harrow,E09000015,Outer,2013,49.04135084058589,0.48,4834.001893,24000.0
Havering,E09000016,Outer,2013,61.93438214111882,0.6,2157.852432,23500.0
Hillingdon,E09000017,Outer,2013,71.05756619573272,1.13,2484.357608,23200.0
Hounslow,E09000018,Outer,2013,75.12917881087004,0.92,4694.958969,22400.0
Islington,E09000019,Inner,2013,109.74243602562676,1.37,14540.55341,28500.0
Kensington and Chelsea,E09000020,Inner,2013,111.75358184557196,1.26,12866.61438,37800.0
Kingston upon Thames,E09000021,Outer,2013,54.487909558462114,0.72,4477.207053,26500.0
Lambeth,E09000022,Inner,2013,102.63566975766842,0.72,11733.25585,26000.0
Lewisham,E09000023,Inner,2013,76.5464645513605,0.41,8158.542246,23000.0
Merton,E09000024,Outer,2013,55.61876550959756,0.67,5419.46631,25800.0
Newham,E09000025,Inner,2013,87.97262253698241,0.47,8831.304376,18500.0
Redbridge,E09000026,Outer,2013,68.61004583943023,0.44,5111.717956,23800.0
Richmond upon Thames,E09000027,Outer,2013,54.15305829174614,0.75,3333.49098,33400.0
Southwark,E09000028,Inner,2013,103.03267370757816,1.16,10363.40718,25000.0
Sutton,E09000029,Outer,2013,52.04629506994182,0.6,4477.069926,25000.0
Tower Hamlets,E09000030,Inner,2013,96.2045305834488,1.34,13829.39099,25800.0
Waltham Forest,E09000031,Outer,2013,81.17784816777505,0.44,6865.910483,21400.0
Wandsworth,E09000032,Inner,2013,71.15581184548033,0.57,9079.630413,31000.0
Westminster,E09000033,Inner,2013,233.582112581059,4.53,10557.13739,35200.0
Barking and Dagenham,E09000002,Outer,2014,79.35253645253998,0.46,5502.492715,21000.0
Barnet,E09000003,Outer,2014,61.57907367410608,0.68,4323.196414,26800.0
Bexley,E09000004,Outer,2014,50.61372051663314,0.54,3963.194992,24400.0
Brent,E09000005,Outer,2014,76.74105490965513,0.57,7438.847647,21300.0
Bromley,E09000006,Outer,2014,62.33026964211364,0.63,2143.632274,27200.0
Camden,E09000007,Inner,2014,118.87840916349082,2.37,10777.99901,32000.0
Croydon,E09000008,Outer,2014,74.4309116051484,0.57,4347.100558,24300.0
Ealing,E09000009,Outer,2014,74.69289191138468,0.66,6165.690614,23200.0
Enfield,E09000010,Outer,2014,67.82997073771755,0.6,4016.35635,23900.0
Greenwich,E09000011,Outer,2014,76.36278370391324,0.52,5676.231777,23500.0
Hackney,E09000012,Inner,2014,97.6338096575171,0.7,13835.14379,26000.0
Hammersmith and Fulham,E09000013,Inner,2014,109.29438755525712,1.07,10898.64383,30100.0
Haringey,E09000014,Inner,2014,86.8241946960017,0.47,9069.379355,24400.0
Harrow,E09000015,Outer,2014,49.42917976274967,0.54,4886.278083,25200.0
Havering,E09000016,Outer,2014,61.5155402552694,0.59,2192.512081,24700.0
Hillingdon,E09000017,Outer,2014,82.09324128526379,1.15,2535.195484,23600.0
Hounslow,E09000018,Outer,2014,77.65391484162046,0.88,4751.42767,23700.0
Islington,E09000019,Inner,2014,114.06024852856814,1.42,14901.26715,28700.0
Kensington and Chelsea,E09000020,Inner,2014,116.5520368348117,1.26,12915.77302,37600.0
Kingston upon Thames,E09000021,Outer,2014,56.56770064297521,0.74,4562.148012,26100.0
Lambeth,E09000022,Inner,2014,100.81213525332532,0.75,11881.48393,26800.0
Lewisham,E09000023,Inner,2014,74.09066046766033,0.43,8322.215519,24000.0
Merton,E09000024,Outer,2014,58.68323881722642,0.67,5427.227161,27800.0
Newham,E09000025,Inner,2014,87.72032144983946,0.49,8999.68203,20100.0
Redbridge,E09000026,Outer,2014,67.40545942608831,0.46,5196.494365,25100.0
Richmond upon Thames,E09000027,Outer,2014,54.97843324637756,0.75,3372.162367,33700.0
Southwark,E09000028,Inner,2014,97.92797725458637,1.27,10504.52683,26200.0
Sutton,E09000029,Outer,2014,54.15411583369433,0.6,4527.70055,25100.0
Tower Hamlets,E09000030,Inner,2014,92.66284493902096,1.35,14391.79151,27000.0
Waltham Forest,E09000031,Outer,2014,75.88722434167674,0.45,6923.192542,21900.0
Wandsworth,E09000032,Inner,2014,70.01454905910755,0.56,9127.172787,31900.0
Westminster,E09000033,Inner,2014,203.83039281244103,4.68,10857.36572,36400.0
Barking and Dagenham,E09000002,Outer,2015,84.46493516761542,0.47,5604.548179,21800.0
Barnet,E09000003,Outer,2015,64.79097223319273,0.68,4378.252239,27100.0
Bexley,E09000004,Outer,2015,51.58641746090688,0.57,4000.781239,24400.0
Brent,E09000005,Outer,2015,79.46104521765362,0.58,7514.022335,22700.0
Bromley,E09000006,Outer,2015,64.84067938281507,0.6,2167.470837,28100.0
Camden,E09000007,Inner,2015,124.85791801143294,2.4,11063.13903,33100.0
Croydon,E09000008,Outer,2015,75.6639958209223,0.58,4381.67714,25100.0
Ealing,E09000009,Outer,2015,78.18060044844356,0.66,6182.632045,24600.0
Enfield,E09000010,Outer,2015,68.68609383608973,0.62,4064.097361,25300.0
Greenwich,E09000011,Outer,2015,78.91835241973341,0.51,5805.631727,24600.0
Hackney,E09000012,Inner,2015,101.97286613091812,0.72,14142.71859,26000.0
Hammersmith and Fulham,E09000013,Inner,2015,112.5371340832471,1.1,10962.31226,30100.0
Haringey,E09000014,Inner,2015,93.53379943162308,0.48,9249.220236,25800.0
Harrow,E09000015,Outer,2015,52.20150669778033,0.53,4908.452858,26100.0
Havering,E09000016,Outer,2015,66.32483292508388,0.6,2220.202417,24900.0
Hillingdon,E09000017,Outer,2015,81.30844253778865,1.05,2578.799204,25300.0
Hounslow,E09000018,Outer,2015,81.15106416967274,0.99,4808.628803,24700.0
Islington,E09000019,Inner,2015,121.6952794404613,1.51,15349.68569,31000.0
Kensington and Chelsea,E09000020,Inner,2015,122.14126695001012,1.34,13041.22653,38700.0
Kingston upon Thames,E09000021,Outer,2015,57.85962041507738,0.84,4657.877679,29100.0
Lambeth,E09000022,Inner,2015,106.30685002370996,0.76,12113.30011,27300.0
Lewisham,E09000023,Inner,2015,81.69526571605037,0.4,8475.618315,24900.0
Merton,E09000024,Outer,2015,61.48659183037106,0.67,5455.134332,27600.0
Newham,E09000025,Inner,2015,89.53866496743642,0.49,9234.360976,20200.0
Redbridge,E09000026,Outer,2015,65.24338287546436,0.47,5262.748645,25700.0
Richmond upon Thames,E09000027,Outer,2015,54.86057618240641,0.81,3392.107745,35800.0
Southwark,E09000028,Inner,2015,100.42158652215348,1.28,10724.98947,27700.0
Sutton,E09000029,Outer,2015,54.26430035355072,0.62,4573.564597,25900.0
Tower Hamlets,E09000030,Inner,2015,95.35363912554196,1.41,14959.04511,26600.0
Waltham Forest,E09000031,Outer,2015,79.57693368895428,0.45,7004.36145,22700.0
Wandsworth,E09000032,Inner,2015,73.1117556341112,0.6,9197.187616,32900.0
Westminster,E09000033,Inner,2015,200.24845335721568,4.74,11276.5498,35100.0
Barking and Dagenham,E09000002,Outer,2016,82.99774231444194,0.47,5728.64873,22100.0
Barnet,E09000003,Outer,2016,65.23337769745054,0.67,4451.936668,27700.0
Bexley,E09000004,Outer,2016,53.91284471076134,0.56,4043.996346,24500.0
Brent,E09000005,Outer,2016,83.02820175451923,0.63,7612.14265,23200.0
Bromley,E09000006,Outer,2016,63.38469055871979,0.65,2181.005332,29800.0
Camden,E09000007,Inner,2016,121.57364530018684,2.46,11298.20859,34400.0
Croydon,E09000008,Outer,2016,77.75225998158533,0.59,4419.5137,26300.0
Ealing,E09000009,Outer,2016,81.24652522071216,0.68,6185.098544,24900.0
Enfield,E09000010,Outer,2016,69.6350510301052,0.6,4100.741277,25100.0
Greenwich,E09000011,Outer,2016,84.52420951795429,0.51,5910.482657,25600.0
Hackney,E09000012,Inner,2016,107.8774249603902,0.75,14379.84359,27800.0
Hammersmith and Fulham,E09000013,Inner,2016,113.37903754486162,1.13,10977.19262,32000.0
Haringey,E09000014,Inner,2016,100.41918889990656,0.46,9437.980522,25600.0
Harrow,E09000015,Outer,2016,53.91551284313883,0.55,4940.595383,26300.0
Havering,E09000016,Outer,2016,68.38194337453632,0.63,2253.117513,26000.0
Hillingdon,E09000017,Outer,2016,82.81591258503626,1.04,2619.73225,25900.0
Hounslow,E09000018,Outer,2016,84.47187585160525,1.04,4850.949067,25000.0
Islington,E09000019,Inner,2016,118.18556029122966,1.5,15697.87979,31100.0
Kensington and Chelsea,E09000020,Inner,2016,125.8408803070128,1.41,12959.9828,37500.0
Kingston upon Thames,E09000021,Outer,2016,58.5670489383445,0.88,4727.172325,30300.0
Lambeth,E09000022,Inner,2016,105.57920039483666,0.71,12243.06496,28400.0
Lewisham,E09000023,Inner,2016,80.69987502231744,0.4,8604.83855,25800.0
Merton,E09000024,Outer,2016,63.57431749241658,0.64,5467.466644,28500.0
Newham,E09000025,Inner,2016,90.55865432351138,0.53,9459.812992,22100.0
Redbridge,E09000026,Outer,2016,67.72108559498956,0.47,5306.280082,26400.0
Richmond upon Thames,E09000027,Outer,2016,58.70939411578485,0.86,3411.547956,35500.0
Southwark,E09000028,Inner,2016,103.84971978576914,1.35,10874.73637,27100.0
Sutton,E09000029,Outer,2016,53.841825755631454,0.64,4620.888266,27400.0
Tower Hamlets,E09000030,Inner,2016,98.42337993041532,1.4,15445.26248,28900.0
Waltham Forest,E09000031,Outer,2016,77.12894849149,0.45,7124.774882,23900.0
Wandsworth,E09000032,Inner,2016,76.64689945245448,0.61,9242.482745,34200.0
Westminster,E09000033,Inner,2016,197.98557432132276,4.86,11523.9089,37800.0
Barking and Dagenham,E09000002,Outer,2017,87.82830514030013,0.48,5830.122602,23300.0
Barnet,E09000003,Outer,2017,67.64662303357295,0.7,4512.433521,28800.0
Bexley,E09000004,Outer,2017,59.31733682877591,0.59,4080.162999,26100.0
Brent,E09000005,Outer,2017,89.13899323816679,0.66,7696.731523,24100.0
Bromley,E09000006,Outer,2017,68.69562326802837,0.65,2204.077917,30400.0
Camden,E09000007,Inner,2017,153.50061709596244,2.52,11453.14706,35500.0
Croydon,E09000008,Outer,2017,77.75154912953673,0.62,4466.24006,25600.0
Ealing,E09000009,Outer,2017,81.1175192869448,0.68,6249.533593,26100.0
Enfield,E09000010,Outer,2017,75.65984501574572,0.59,4152.404004,25400.0
Greenwich,E09000011,Outer,2017,88.28958815166882,0.53,5974.031236,26000.0
Hackney,E09000012,Inner,2017,112.86061807370034,0.73,14566.36232,28000.0
Hammersmith and Fulham,E09000013,Inner,2017,119.0836169312053,1.14,11092.5154,32300.0
Haringey,E09000014,Inner,2017,106.88852926907865,0.47,9540.959107,25100.0
Harrow,E09000015,Outer,2017,55.40126640534493,0.58,4994.8136,27300.0
Havering,E09000016,Outer,2017,72.50880302308695,0.64,2280.042381,26100.0
